Plant_Species_and_variety,Treatment,Pot_Number,Pod_number,Pod_weight_grams,Bean_number,Bean_weight_grams,Seed_head _total_weight_grams,Seedheads_number,Average_ Pod_weight_grams,Average_bean_weight_milligrams,Average_beans_per_pod_number,total_weight_of_all_grains_grams,100_grain_weight_grams,Number_of_Ears,Calculated_number_of_grains_per_ear,calculated_total_number_of_grains
Finger_Millet_KNE820,Low_ozone_heated,3,,,,,11.33,6,,,,,,,,
Finger_Millet_KNE821,Low_ozone_heated,4,,,,,20.09,8,,,,,,,,
Finger_Millet_KNE627,Low_ozone_heated,3,,,,,2.47,1,,,,,,,,
Finger_Millet_KNE628,Low_ozone_heated,4,,,,,30.17,9,,,,,,,,
Finger_Millet_Okhale,Low_ozone_heated,1,,,,,50.59,8,,,,,,,,
Finger_Millet_Okhale,Low_ozone_heated,2,,,,,56.79,9,,,,,,,,
Finger_Millet_Okhale,Low_ozone_heated,3,,,,,44.99,6,,,,,,,,
Finger_Millet_Okhale,Low_ozone_heated,4,,,,,29.05,6,,,,,,,,
Finger_Millet_P227,Low_ozone_heated,1,,,,,6.39,1,,,,,,,,
Finger_Millet_U19,Low_ozone_heated,1,,,,,32.01,11,,,,,,,,
Finger_Millet_U20,Low_ozone_heated,2,,,,,40.63,8,,,,,,,,
Finger_Millet_U21,Low_ozone_heated,3,,,,,34.1,10,,,,,,,,
Finger_Millet_U22,Low_ozone_heated,4,,,,,50.18,10,,,,,,,,
Finger_Millet_GuluE,Medium_ozone_heated,1,,,,,7.38,2,,,,,,,,
Finger_Millet_GuluE,Medium_ozone_heated,2,,,,,33.64,6,,,,,,,,
Finger_Millet_GuluE,Medium_ozone_heated,3,,,,,27.4,13,,,,,,,,
Finger_Millet_GuluE,Medium_ozone_heated,4,,,,,39.14,8,,,,,,,,
Finger_Millet_KNE822,Medium_ozone_heated,1,,,,,52.63,14,,,,,,,,
Finger_Millet_KNE823,Medium_ozone_heated,2,,,,,52.11,12,,,,,,,,
Finger_Millet_KNE824,Medium_ozone_heated,3,,,,,59.03,13,,,,,,,,
Finger_Millet_KNE825,Medium_ozone_heated,4,,,,,43.82,11,,,,,,,,
Finger_Millet_KNE629,Medium_ozone_heated,1,,,,,14.99,4,,,,,,,,
Finger_Millet_KNE630,Medium_ozone_heated,2,,,,,42.3,10,,,,,,,,
Finger_Millet_KNE631,Medium_ozone_heated,3,,,,,32.61,5,,,,,,,,
Finger_Millet_KNE632,Medium_ozone_heated,4,,,,,23.05,7,,,,,,,,
Finger_Millet_Okhale,Medium_ozone_heated,1,,,,,26.68,4,,,,,,,,
Finger_Millet_Okhale,Medium_ozone_heated,2,,,,,48.49,6,,,,,,,,
Finger_Millet_Okhale,Medium_ozone_heated,3,,,,,58.94,9,,,,,,,,
Finger_Millet_Okhale,Medium_ozone_heated,4,,,,,51.92,6,,,,,,,,
Finger_Millet_P228,Medium_ozone_heated,2,,,,,8.74,2,,,,,,,,
Finger_Millet_P229,Medium_ozone_heated,3,,,,,2.4,1,,,,,,,,
Finger_Millet_P230,Medium_ozone_heated,4,,,,,7.39,1,,,,,,,,
Finger_Millet_U23,Medium_ozone_heated,1,,,,,33.53,7,,,,,,,,
Finger_Millet_U24,Medium_ozone_heated,2,,,,,44.73,7,,,,,,,,
Finger_Millet_U25,Medium_ozone_heated,3,,,,,60.66,12,,,,,,,,
Finger_Millet_U26,Medium_ozone_heated,4,,,,,36.73,13,,,,,,,,
